,Name,IMDB,Metacritic,Rotten,Duriation,Cast,Similar,Reviews,Plot,Genre,Year,IMAGE,image
204,Jaws,8.1,87,97,80 min,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw","Jaws 2 (1978) , Jaws: The Revenge (1987) , Inner Space: Man Eater (1973) ,","So Much More Than Just A ""Shark Movie"" @ One of the experiences that made me fall in love with movies @ Even with very dated technology, this is a great film to watch. @","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Drama, Romance",1975,"https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY1200_CR76,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
205,Dead Poets Society,8.1,79,84,131 min,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard","Mohabbatein (2000) , Life Is Beautiful (2000) , Everything Wrong with...: Everything Wrong with Battle Los Angeles in 18 Minutes or Less (2017) ,",A powerful antidote to conformism @ Thank You Captain @ Seize the Day- One of the Greatest Movies Ever! @,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Crime, Drama, Mystery",1989,"https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR91,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
206,La passion de Jeanne d'Arc,8.1,N/A,98,143 min,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain","Procès de Jeanne d'Arc (1962) , From Camille to Joan of Arc (1961) , Jeanne Marie Renée (2002) ,","an incredible directorial vision, and a devastating lead in Falconetti, make this one of the greatest achievements in all celluloid @ When Film Becomes Transcendental Art. @ Overwhelming Masterpiece... @","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Action, Adventure, Fantasy",1928,"https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR69,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
207,Tôkyô monogatari,8.1,N/A,N/A,141 min,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama","Banshun (1949) , Kirschblüten - Hanami (2008) , Tôkyô kazoku (2013) ,",Ozu's Quietly Brilliant Masterpiece Deserves Your Attention @ Universal appeal of Tokyo Story @ A cinema of tears @,"An old couple visit their children and grandchildren in the city, but receive little attention.","Biography, Crime, Drama",1953,"https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR101,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
208,Hotel Rwanda,8.1,79,91,154 min,"Terry George (dir.), Don Cheadle, Sophie Okonedo","Saturday Night Live: Paul Giamatti/Ludacris featuring Sum-41 (2005) , Return to Rwanda (2005) , Gilmore Girls: How Many Kropogs to Cape Cod? (2005) ,",A fantastic and powerful film @ A brilliant movie that deserved a Best Picture Oscar-nomination @ a great one @,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Drama, Thriller",2004,"https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY1200_CR91,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
209,Ford v Ferrari,8,81,92,92 min,"James Mangold (dir.), Matt Damon, Christian Bale","I Dream of Jeannie (1965) , WatchMojo: Top 10 Most Anticipated Movies for the Rest of 2019 (2019) , WatchMojo: Top 10 Movies That Should Be on Your Radar This Fall (2019) ,",special @ Entertaining In Every Way A Film Can Be @ Best Race Car Movie Ever? @,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Animation, Adventure, Comedy",2019,"https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UY67_CR0,0,45,67_AL_.jpg"
210,Rocky,8,70,N/A,86 min,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire","Rocky II (1979) , Rocky IV (1985) , Rocky Balboa (2006) ,","The Raging Bull Named Rocky... @ Yo! @ ""He doesn't know it's a show. He thinks it's a damn fight!"" @",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Animation, Action, Adventure",1976,"https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR80,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
211,Platoon,8,92,89,117 min,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger","Born on the Fourth of July (1989) , A Tour of the Inferno: Revisiting 'Platoon' (2001) , Platoon (1987) ,",The quintessential Vietnam war movie @ A Realistic Vietnam film Oliver's Stone's masterpiece @ Uncomfortable but very worthy view of war's impact on the young @,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Comedy, Crime",1986,"https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR68,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
212,Stand by Me,8,75,92,93 min,"Rob Reiner (dir.), Wil Wheaton, River Phoenix","Citizen Kane (1941) , The $64,000 Question (1955) , The Mickey Mouse Club (1955) ,",It's not a GUY'S film only @ One of the best adaptations of a Stephen King story ever. @ Biggest one in four counties @,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Drama,1986,"https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR66,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
213,The Terminator,8,84,100,98 min,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton","Terminator 2: Judgment Day (1991) , Terminator Salvation (2009) , Terminator: Dark Fate (2019) ,",This is the movie that made a big break through for sci-fi movies!!!! @ The best of the best in its genre... @ Nice night for a walk. @,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Crime, Thriller",1984,"https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
